1_Group_gene     2_Uni_entry  3_Gene    4_HMM_evalue  5_HMM_score  6_Closest_group_by_HMM
AGC_MASTL        GWL_HUMAN    MASTL     3.4e-133      437.5        AGC
AGC_AKT3         AKT3_HUMAN   AKT3      8.5e-105      344.4        AGC
AGC_STK38L       ST38L_HUMAN  STK38L    2.2e-104      343.0        AGC
AGC_LATS2        LATS2_HUMAN  LATS2     2e-103        339.9        AGC
AGC_PRKCE        KPCE_HUMAN   PRKCE     2e-103        339.9        AGC
AGC_AKT2         AKT2_HUMAN   AKT2      2.5e-103      339.6        AGC
AGC_AKT1         AKT1_HUMAN   AKT1      3.5e-103      339.1        AGC
AGC_PRKCA        KPCA_HUMAN   PRKCA     4.8e-103      338.7        AGC
AGC_SGK1         SGK1_HUMAN   SGK1      5.1e-103      338.6        AGC
AGC_LATS1        LATS1_HUMAN  LATS1     1.1e-102      337.5        AGC
AGC_STK38        STK38_HUMAN  STK38     1.2e-102      337.4        AGC
AGC_PRKCB        KPCB_HUMAN   PRKCB     3.4e-102      335.9        AGC
AGC_MAST3        MAST3_HUMAN  MAST3     3.5e-102      335.8        AGC
AGC_MAST4        MAST4_HUMAN  MAST4     1.3e-101      334.0        AGC
AGC_MAST2        MAST2_HUMAN  MAST2     1.8e-101      333.5        AGC
AGC_PRKCH        KPCL_HUMAN   PRKCH     1.8e-101      333.5        AGC
AGC_RPS6KA6_1    KS6A6_HUMAN  RPS6KA6   2.6e-101      333.0        AGC
AGC_RPS6KA3_1    KS6A3_HUMAN  RPS6KA3   5.2e-101      332.0        AGC
AGC_MAST1        MAST1_HUMAN  MAST1     1.7e-100      330.3        AGC
AGC_SGK2         SGK2_HUMAN   SGK2      1.7e-100      330.3        AGC
AGC_CDC42BPA     MRCKA_HUMAN  CDC42BPA  1.9e-100      330.2        AGC
AGC_RPS6KA2_1    KS6A2_HUMAN  RPS6KA2   2.1e-100      330.0        AGC
AGC_CDC42BPB     MRCKB_HUMAN  CDC42BPB  3.2e-100      329.4        AGC
AGC_SGK3         SGK3_HUMAN   SGK3      4.6e-100      328.9        AGC
AGC_RPS6KB1      KS6B1_HUMAN  RPS6KB1   8e-100        328.1        AGC
AGC_PRKCQ        KPCT_HUMAN   PRKCQ     1.3e-99       327.4        AGC
AGC_PRKCI        KPCI_HUMAN   PRKCI     1.8e-99       327.0        AGC
AGC_RPS6KA1_1    KS6A1_HUMAN  RPS6KA1   2.8e-99       326.3        AGC
AGC_PRKACA       KAPCA_HUMAN  PRKACA    5.1e-99       325.5        AGC
AGC_RPS6KB2      KS6B2_HUMAN  RPS6KB2   6.2e-99       325.2        AGC
AGC_PKN2         PKN2_HUMAN   PKN2      6.9e-99       325.0        AGC
AGC_PRKACB       KAPCB_HUMAN  PRKACB    1.9e-98       323.6        AGC
AGC_ROCK1        ROCK1_HUMAN  ROCK1     3.4e-98       322.8        AGC
AGC_PRKCZ        KPCZ_HUMAN   PRKCZ     1.4e-97       320.7        AGC
AGC_ROCK2        ROCK2_HUMAN  ROCK2     2.6e-97       319.9        AGC
AGC_PRKACG       KAPCG_HUMAN  PRKACG    5.6e-97       318.8        AGC
AGC_PRKCG        KPCG_HUMAN   PRKCG     6.5e-97       318.6        AGC
AGC_RPS6KA5_1    KS6A5_HUMAN  RPS6KA5   6.3e-97       318.6        AGC
AGC_PRKCD        KPCD_HUMAN   PRKCD     3.9e-96       316.0        AGC
AGC_RPS6KA4_1    KS6A4_HUMAN  RPS6KA4   1.5e-95       314.1        AGC
AGC_CDC42BPG     MRCKG_HUMAN  CDC42BPG  3.2e-95       313.0        AGC
AGC_PRKX         PRKX_HUMAN   PRKX      1.8e-94       310.6        AGC
AGC_PKN1         PKN1_HUMAN   PKN1      2.1e-94       310.4        AGC
AGC_DMPK         DMPK_HUMAN   DMPK      1.4e-93       307.6        AGC
AGC_PKN3         PKN3_HUMAN   PKN3      1.3e-91       301.2        AGC
AGC_GRK6         GRK6_HUMAN   GRK6      1e-89         295.0        AGC
AGC_PDPK1        PDPK1_HUMAN  PDPK1     2.9e-88       290.2        AGC
AGC_GRK5         GRK5_HUMAN   GRK5      3.6e-88       289.9        AGC
AGC_PRKG1        KGP1_HUMAN   PRKG1     3.9e-88       289.8        AGC
AGC_GRK4         GRK4_HUMAN   GRK4      4.5e-88       289.6        AGC
AGC_STK32A       ST32A_HUMAN  STK32A    6e-88         289.2        AGC
AGC_PDPK2P       PDPK2_HUMAN  PDPK2P    1.2e-87       288.1        AGC
AGC_PRKG2        KGP2_HUMAN   PRKG2     1.1e-86       285.0        AGC
AGC_CIT          CTRO_HUMAN   CIT       2.3e-86       284.0        AGC
AGC_PRKY         PRKY_HUMAN   PRKY      5.6e-86       282.7        AGC
AGC_STK32C       ST32C_HUMAN  STK32C    1.2e-85       281.6        AGC
AGC_STK32B       ST32B_HUMAN  STK32B    2.1e-85       280.9        AGC
AGC_GRK1         GRK1_HUMAN   GRK1      1.9e-84       277.7        AGC
AGC_GRK3         ARBK2_HUMAN  GRK3      3.6e-83       273.5        AGC
AGC_GRK2         ARBK1_HUMAN  GRK2      1.7e-81       268.0        AGC
AGC_GRK7         GRK7_HUMAN   GRK7      2.6e-80       264.2        AGC
AGC_RSKR         KS6R_HUMAN   RSKR      8.9e-73       239.4        AGC
OTHER_RPS6KC1    KS6C1_HUMAN  RPS6KC1   4.4e-36       119.2        AGC
OTHER_RPS6KL1    RPKL1_HUMAN  RPS6KL1   1.7e-35       117.3        AGC
CAMK_MKNK1       MKNK1_HUMAN  MKNK1     4.7e-104      342.2        CAMK
CAMK_MKNK2       MKNK2_HUMAN  MKNK2     7.1e-101      331.7        CAMK
CAMK_CAMK1D      KCC1D_HUMAN  CAMK1D    1.3e-98       324.3        CAMK
CAMK_CAMK2D      KCC2D_HUMAN  CAMK2D    1.1e-97       321.3        CAMK
CAMK_CAMK2G      KCC2G_HUMAN  CAMK2G    1.3e-97       321.0        CAMK
CAMK_CAMK2A      KCC2A_HUMAN  CAMK2A    4.6e-97       319.3        CAMK
CAMK_CAMK2B      KCC2B_HUMAN  CAMK2B    2.1e-96       317.1        CAMK
CAMK_CAMK1       KCC1A_HUMAN  CAMK1     7.1e-96       315.4        CAMK
CAMK_CAMK1G      KCC1G_HUMAN  CAMK1G    1.6e-95       314.2        CAMK
CAMK_MARK1       MARK1_HUMAN  MARK1     3.6e-95       313.1        CAMK
CAMK_MARK2       MARK2_HUMAN  MARK2     4.6e-95       312.7        CAMK
CAMK_DAPK3       DAPK3_HUMAN  DAPK3     4.8e-95       312.6        CAMK
CAMK_SIK1B       SIK1B_HUMAN  SIK1B     1.4e-94       311.1        CAMK
CAMK_SIK1        SIK1_HUMAN   SIK1      1.4e-94       311.1        CAMK
CAMK_MARK4       MARK4_HUMAN  MARK4     1.9e-94       310.7        CAMK
CAMK_SIK3        SIK3_HUMAN   SIK3      2.5e-94       310.3        CAMK
CAMK_SIK2        SIK2_HUMAN   SIK2      5.5e-94       309.2        CAMK
CAMK_MARK3       MARK3_HUMAN  MARK3     6.9e-94       308.9        CAMK
CAMK_DAPK1       DAPK1_HUMAN  DAPK1     2.5e-93       307.0        CAMK
CAMK_PSKH1       KPSH1_HUMAN  PSKH1     7.7e-93       305.4        CAMK
CAMK_RPS6KA5_2   KS6A5_HUMAN  RPS6KA5   9.4e-93       305.1        CAMK
CAMK_PNCK        KCC1B_HUMAN  PNCK      1.2e-92       304.8        CAMK
CAMK_DCLK3       DCLK3_HUMAN  DCLK3     1.3e-92       304.6        CAMK
CAMK_NUAK1       NUAK1_HUMAN  NUAK1     3.6e-92       303.2        CAMK
CAMK_SNRK        SNRK_HUMAN   SNRK      1.3e-91       301.4        CAMK
CAMK_DAPK2       DAPK2_HUMAN  DAPK2     1.4e-91       301.3        CAMK
CAMK_RPS6KA1_2   KS6A1_HUMAN  RPS6KA1   2.7e-91       300.4        CAMK
CAMK_RPS6KA2_2   KS6A2_HUMAN  RPS6KA2   2.7e-91       300.4        CAMK
CAMK_BRSK1       BRSK1_HUMAN  BRSK1     4.1e-91       299.8        CAMK
CAMK_RPS6KA3_2   KS6A3_HUMAN  RPS6KA3   4e-90         296.5        CAMK
CAMK_DCLK1       DCLK1_HUMAN  DCLK1     5.1e-90       296.2        CAMK
CAMK_CAMK4       KCC4_HUMAN   CAMK4     7.8e-90       295.6        CAMK
CAMK_RPS6KA6_2   KS6A6_HUMAN  RPS6KA6   1.5e-89       294.6        CAMK
CAMK_MAPKAPK5    MAPK5_HUMAN  MAPKAPK5  1.8e-89       294.4        CAMK
CAMK_PHKG2       PHKG2_HUMAN  PHKG2     1.9e-89       294.3        CAMK
CAMK_STK33       STK33_HUMAN  STK33     2.6e-89       293.8        CAMK
CAMK_NUAK2       NUAK2_HUMAN  NUAK2     4.3e-89       293.2        CAMK
CAMK_DCLK2       DCLK2_HUMAN  DCLK2     4.7e-89       293.0        CAMK
CAMK_BRSK2       BRSK2_HUMAN  BRSK2     5.1e-89       292.9        CAMK
CAMK_PRKAA2      AAPK2_HUMAN  PRKAA2    2.1e-88       290.9        CAMK
CAMK_MELK        MELK_HUMAN   MELK      3.8e-88       290.0        CAMK
CAMK_PHKG1       PHKG1_HUMAN  PHKG1     6.5e-88       289.3        CAMK
CAMK_PRKAA1      AAPK1_HUMAN  PRKAA1    2.5e-87       287.4        CAMK
CAMK_CHEK2       CHK2_HUMAN   CHEK2     3.5e-87       286.9        CAMK
CAMK_PSKH2       KPSH2_HUMAN  PSKH2     8.2e-87       285.7        CAMK
CAMK_MYLK        MYLK_HUMAN   MYLK      1.2e-86       285.1        CAMK
CAMK_MYLK3       MYLK3_HUMAN  MYLK3     6.3e-86       282.8        CAMK
CAMK_STK17A      ST17A_HUMAN  STK17A    6.3e-86       282.8        CAMK
CAMK_MAPKAPK2    MAPK2_HUMAN  MAPKAPK2  4.4e-85       280.0        CAMK
CAMK_TSSK1B      TSSK1_HUMAN  TSSK1B    5.4e-85       279.7        CAMK
CAMK_TSSK2       TSSK2_HUMAN  TSSK2     5.5e-85       279.7        CAMK
CAMK_RPS6KA4_2   KS6A4_HUMAN  RPS6KA4   6.4e-85       279.5        CAMK
CAMK_MYLK4       MYLK4_HUMAN  MYLK4     9.6e-85       278.9        CAMK
CAMK_CASK        CSKP_HUMAN   CASK      1.3e-84       278.4        CAMK
CAMK_MAPKAPK3    MAPK3_HUMAN  MAPKAPK3  1.3e-83       275.2        CAMK
CAMK_CAMKK2      KKCC2_HUMAN  CAMKK2    2.4e-83       274.3        CAMK
CAMK_MYLK2       MYLK2_HUMAN  MYLK2     7.8e-83       272.6        CAMK
CAMK_PLK4        PLK4_HUMAN   PLK4      8.9e-83       272.4        CAMK
CAMK_PRKD1       KPCD1_HUMAN  PRKD1     1.2e-82       272.0        CAMK
CAMK_CAMKV       CAMKV_HUMAN  CAMKV     1.3e-82       271.9        CAMK
CAMK_PRKD2       KPCD2_HUMAN  PRKD2     2.8e-82       270.8        CAMK
CAMK_CAMKK1      KKCC1_HUMAN  CAMKK1    6.1e-82       269.7        CAMK
CAMK_ULK3        ULK3_HUMAN   ULK3      8.4e-82       269.3        CAMK
CAMK_NIM1K       NIM1_HUMAN   NIM1K     8.8e-82       269.2        CAMK
CAMK_PRKD3       KPCD3_HUMAN  PRKD3     8.6e-82       269.2        CAMK
CAMK_AURKA       AURKA_HUMAN  AURKA     7.1e-81       266.2        CAMK
CAMK_PLK2        PLK2_HUMAN   PLK2      9.1e-81       265.9        CAMK
CAMK_TSSK4       TSSK4_HUMAN  TSSK4     1.2e-80       265.5        CAMK
CAMK_AURKC       AURKC_HUMAN  AURKC     1.2e-80       265.4        CAMK
CAMK_ULK2        ULK2_HUMAN   ULK2      1.2e-80       265.4        CAMK
CAMK_ULK1        ULK1_HUMAN   ULK1      2e-80         264.7        CAMK
CAMK_STK17B      ST17B_HUMAN  STK17B    2.4e-80       264.5        CAMK
CAMK_TSSK3       TSSK3_HUMAN  TSSK3     3.2e-80       264.1        CAMK
CAMK_HUNK        HUNK_HUMAN   HUNK      3.9e-80       263.8        CAMK
CAMK_PLK1        PLK1_HUMAN   PLK1      8.8e-80       262.6        CAMK
CAMK_AURKB       AURKB_HUMAN  AURKB     9.5e-80       262.5        CAMK
CAMK_PLK3        PLK3_HUMAN   PLK3      6.4e-79       259.8        CAMK
CAMK_TTN         TITIN_HUMAN  TTN       3.4e-78       257.4        CAMK
CAMK_STK36       STK36_HUMAN  STK36     3.5e-77       254.1        CAMK
CAMK_KALRN       KALRN_HUMAN  KALRN     1.1e-76       252.4        CAMK
CAMK_OBSCN_1     OBSCN_HUMAN  OBSCN     5.4e-76       250.2        CAMK
CAMK_STK40       STK40_HUMAN  STK40     1.1e-74       246.0        CAMK
CAMK_TSSK6       TSSK6_HUMAN  TSSK6     1.3e-74       245.7        CAMK
CAMK_TRIO        TRIO_HUMAN   TRIO      8.1e-74       243.1        CAMK
CAMK_CHEK1       CHK1_HUMAN   CHEK1     2.1e-71       235.2        CAMK
CAMK_SPEG_1      SPEG_HUMAN   SPEG      5.2e-69       227.3        CAMK
CAMK_STK11       STK11_HUMAN  STK11     4.3e-68       224.3        CAMK
CAMK_PASK        PASK_HUMAN   PASK      1.6e-67       222.5        CAMK
CAMK_SPEG_2      SPEG_HUMAN   SPEG      1.4e-66       219.3        CAMK
CAMK_PIM1        PIM1_HUMAN   PIM1      2.5e-65       215.3        CAMK
CAMK_PIM3        PIM3_HUMAN   PIM3      4.1e-63       208.0        CAMK
CAMK_TRIB1       TRIB1_HUMAN  TRIB1     5.3e-63       207.6        CAMK
CAMK_TRIB2       TRIB2_HUMAN  TRIB2     2.6e-62       205.4        CAMK
CAMK_PIM2        PIM2_HUMAN   PIM2      3.2e-61       201.8        CAMK
CAMK_OBSCN_2     OBSCN_HUMAN  OBSCN     7.9e-59       194.0        CAMK
OTHER_TLK2       TLK2_HUMAN   TLK2      1.5e-58       193.0        CAMK
OTHER_TTK        TTK_HUMAN    TTK       6.2e-58       191.0        CAMK
OTHER_TLK1       TLK1_HUMAN   TLK1      4.6e-57       188.2        CAMK
CAMK_TRIB3       TRIB3_HUMAN  TRIB3     5.3e-53       174.9        CAMK
OTHER_ULK4       ULK4_HUMAN   ULK4      5.8e-53       174.7        CAMK
OTHER_SBK1       SBK1_HUMAN   SBK1      1.5e-51       170.1        CAMK
OTHER_CHUK       IKKA_HUMAN   CHUK      1.1e-49       164.1        CAMK
OTHER_IKBKB      IKKB_HUMAN   IKBKB     2.2e-49       163.0        CAMK
OTHER_GAK        GAK_HUMAN    GAK       5e-49         161.8        CAMK
OTHER_IKBKE      IKKE_HUMAN   IKBKE     1.2e-45       150.7        CAMK
OTHER_TBK1       TBK1_HUMAN   TBK1      4.1e-44       145.7        CAMK
OTHER_AAK1       AAK1_HUMAN   AAK1      1.4e-43       144.0        CAMK
OTHER_CDC7       CDC7_HUMAN   CDC7      1.1e-40       134.6        CAMK
OTHER_ERN1       ERN1_HUMAN   ERN1      1.2e-38       127.8        CAMK
OTHER_ERN2       ERN2_HUMAN   ERN2      2e-36         120.5        CAMK
OTHER_SBK2       SBK2_HUMAN   SBK2      4.6e-35       116.1        CAMK
OTHER_SBK3       SBK3_HUMAN   SBK3      2e-26         87.8         CAMK
OTHER_SCYL2      SCYL2_HUMAN  SCYL2     5e-24         79.9         CAMK
OTHER_PINK1      PINK1_HUMAN  PINK1     2.6e-23       77.6         CAMK
OTHER_PEAK1      PEAK1_HUMAN  PEAK1     1.4e-16       55.5         CAMK
OTHER_PRAG1      PRAG1_HUMAN  SGK223    1.2e-15       52.4         CAMK
OTHER_BUB1       BUB1_HUMAN   BUB1      8.1e-15       49.7         CAMK
OTHER_PLK5       PLK5_HUMAN   PLK5      1.8e-12       42.0         CAMK
OTHER_BUB1B      BUB1B_HUMAN  BUB1B     1.8e-08       29.0         CAMK
CK1_CSNK1E       KC1E_HUMAN   CSNK1E    2.2e-126      415.5        CK1
CK1_CSNK1D       KC1D_HUMAN   CSNK1D    4.6e-126      414.4        CK1
CK1_CSNK1A1      KC1A_HUMAN   CSNK1A1   4.9e-125      411.1        CK1
CK1_CSNK1A1L     KC1AL_HUMAN  CSNK1A1L  1.7e-121      399.5        CK1
CK1_CSNK1G2      KC1G2_HUMAN  CSNK1G2   3.6e-121      398.4        CK1
CK1_CSNK1G1      KC1G1_HUMAN  CSNK1G1   2.5e-120      395.6        CK1
CK1_CSNK1G3      KC1G3_HUMAN  CSNK1G3   2.7e-120      395.5        CK1
